,name,clouds,country,dt,humidity,lat,lon,temp_max,speed
309,Westport,1,US,1600903277,44,41.14,-73.36,75.2,6.93
310,Aswān,0,EG,1600903570,30,24.09,32.91,87.15,12.41
311,Sakakah,0,SA,1600903572,16,29.97,40.21,86.0,3.36
312,Ixtapa,75,MX,1600903354,74,20.7,-105.2,86.0,11.41
313,Weligama,77,LK,1600903574,88,5.97,80.42,76.84,6.33
314,Mishelevka,18,RU,1600903576,73,52.86,103.17,44.49,10.92
315,Atbasar,19,KZ,1600903577,82,51.8,68.33,41.16,17.36
316,San Vicente,3,AR,1600903578,62,-26.62,-54.13,64.99,3.65
317,Fairbanks,90,US,1600903580,66,64.84,-147.72,53.6,3.36
318,Shakawe,0,BW,1600903581,27,-18.37,21.85,69.03,5.46
319,Bambanglipuro,99,ID,1600903582,87,-7.95,110.28,77.25,6.98
320,Edd,100,ER,1600903584,73,13.93,41.69,87.66,6.31
321,Goderich,0,CA,1600903585,82,43.75,-81.72,69.01,2.64
322,Northam,38,GB,1600903586,87,51.03,-4.22,51.01,5.99
323,Carutapera,31,BR,1600903588,81,-1.2,-46.02,78.04,7.38
324,Marovoay,20,MG,1600903589,56,-16.1,46.63,71.6,4.7
325,Sarmanovo,0,RU,1600903590,75,55.26,52.59,42.8,6.71
326,Sirsilla,75,IN,1600903592,82,18.38,78.83,75.02,13.6
327,Atambua,0,ID,1600903593,50,-9.11,124.89,78.08,3.0
328,Omsukchan,95,RU,1600903594,90,62.53,155.8,33.84,5.46
329,Mpanda,71,TZ,1600903596,37,-6.37,31.04,75.18,3.67
330,Coquimbo,90,CL,1600903597,87,-29.95,-71.34,55.4,5.82
331,São Filipe,35,CV,1600903599,79,14.9,-24.5,80.69,5.75
332,Liepāja,72,LV,1600903600,87,56.54,21.04,60.8,4.7
333,Vespasiano,75,BR,1600903601,88,-19.69,-43.92,66.2,11.41
334,Longyearbyen,75,SJ,1600903603,86,78.22,15.64,30.2,6.93
335,Jiayuguan City,86,CN,1600903604,41,39.82,98.3,54.3,1.36
